distortion,checkpoint_epoch,dataset,split,num_samples,accuracy,balanced_accuracy,precision,recall,f1,auroc,loss
clean,3,cifake,test,20000,0.972,0.972,0.9849979449239622,0.9586,0.9716197040340563,0.997105062007904,0.07571290756464004
jpeg_q90,3,cifake,test,20000,0.96925,0.96925,0.9857157644136217,0.9523,0.9687198006205178,0.9967001080513,0.08301639513373375
jpeg_q70,3,cifake,test,20000,0.974,0.974,0.982393649501323,0.9653,0.9737718147886614,0.996887743473053,0.07230272880792618
jpeg_q50,3,cifake,test,20000,0.9475,0.9475,0.9710526315789474,0.9225,0.946153846153846,0.9915646910667419,0.13203161665797233
jpeg_q30,3,cifake,test,20000,0.88115,0.88115,0.9863468163838204,0.773,0.8667376801031563,0.9823672771453857,0.34586047008633614
blur,3,cifake,test,20000,0.70475,0.70475,0.8218833516742651,0.5228,0.6390807407860155,0.8155498504638672,0.7863520483970642
resize,3,cifake,test,20000,0.66525,0.66525,0.9039354681007089,0.3698,0.5248740330707544,0.8369635939598083,1.0342179372549056
noise,3,cifake,test,20000,0.7039,0.7039,0.9953838678328474,0.4097,0.580476055539813,0.963949978351593,0.8874070317387581
